LON,LAT,EDO,CLAVE,ESTACION,oct-24
-99.158611,18.883611,MOR,IMTMR,"Instituto Mexicano de Tecnología del Agua, Mor. SMN*",75.54
-98.8,18.7,MOR,JNCMR,"Jonacatepec, Mor.",63.5
-99.2,18.6,MOR,JOJMR,"Jojutla, Mor.",36.1
-98.914444,18.683611,MOR,LCUMR,"La Cuera, Mor.",39.93
-99.004722,18.727222,MOR,MYOMR,"Moyotepec, Mor.",66.62
-99.031389,18.923333,MOR,OACMR,"Oacalco, Mor.",87
-98.901389,18.900556,MOR,OAXMR,"Oaxtepec, Mor.",87.04
-99.219167,18.908889,MOR,OBSMR,"Observatorio de Cuernavaca, Mor.",109.92
-98.758611,18.8825,MOR,OCTMR,"Ocuituco, Mor.",125.5
-99.433333,18.8675,MOR,PAPMR,"Palpan, Mor.",60.21
-99.322778,18.633333,MOR,PIXMR,"Puente de Ixtla, Mor.",78.56
-99.156944,18.771111,MOR,PROMR,"Progreso, Mor.",89.1
-99.331389,18.765278,MOR,RODMR,"El Rodeo, Mor.",76.01
-99.190556,18.918333,MOR,SLDMR,"Solidaridad, Mor.",149.9
-99.042778,18.580278,MOR,SPHMR,"San Pablo Hidalgo, Mor.",97.6
-98.83,18.638333,MOR,TEBMR,"Tepalcingo Bachillerato, Mor.",67.7
-99.223611,18.856944,MOR,TEMMR,"Temixco, Mor.",96.5
-99.078889,18.950833,MOR,TEPOZTLAN,"Tepoztlán, Mor. SMN*",110.27
-98.710278,18.876389,MOR,TETMR,"Tetela del Volcán, Mor.",114.8
-99.306111,18.487778,MOR,TILMR,"Tilzapotla, Mor.",21.54
-98.75,18.813333,MOR,TLOMR,"Tlacotepec, Mor.",69.61
-99.241667,19.054167,MOR,TMAMR,"Tres Marías, Mor.",104.04
-98.786944,18.778056,MOR,TMCMR,"Temoac, Mor.",44.7
-99.1,18.691667,MOR,TMPMR,"Temilpa, Mor.",50.12
-98.92,18.9875,MOR,TOTMR,"Totolapan, Mor.",84.6
-98.843611,18.596389,MOR,TPLMR,"Tepalcingo, Mor.",60.8
-99.072778,18.971389,MOR,TPZMR,"Tepoztlán, Mor.",112.51
-99.250278,18.611111,MOR,TQGMR,"Tequesquitengo, Mor.",44.01
-99.190278,18.528889,MOR,XICMR,"Xicatlacotla, Mor.",17.3
-99.25,18.683333,MOR,XXOMR,"Xoxocotla, Mor.",40.8
-99.050556,18.899167,MOR,YAHMR,"Yautepec, Mor.",36.72
-99.196667,18.651389,MOR,ZCTMR,"Zacatepec, Mor.",49.11
-105.354167,22.49,NAY,ACANR,"Acaponeta, Nay.",64.52
-104.802222,21.839167,NAY,AGMNR,"Aguamilpa Solidaridad, Nay.",23.41
-104.5,21.944167,NAY,CHPNR,"Chapalagana, Nay.",60.4
-104.450833,21.428333,NAY,CJNNR,"Leonardo Rodríguez Alcaine, Nay.",13.1
-106.536944,21.629722,NAY,ISLASMARIASmar,"Islas Marías, Nay. SEMAR*",41.402
-104.298056,21.038889,NAY,IXTLANRIO,"Ixtlán del Río, Nay. SMN*",30
-104.516944,22.250833,NAY,JMANR,"Jesús María, Nay.",55.81
-105.341667,22.558333,NAY,LESNR,"La Estancia, Nay.",70.32
-105.020833,22.377778,NAY,PAJNR,"Pajaritos, Nay.",20.11
-105.211667,22.119722,NAY,ROMNR,"Rosamorada, Nay.",31.82
-104.8875,21.780833,NAY,RSRNR,"San Rafael, Nay.",90.8
-105.1425,21.958333,NAY,RUINR,"Ruiz, Nay.",42.11
-105.285556,21.531389,NAY,SANBLASmar,"San Blas, Nay. SEMAR*",137.29
-104.891944,21.489444,NAY,TEPNR,"Observatorio de Tepic, Nay.",67.81
-99.816667,24.1,NL,ARRNL,"Aramberri, N.L.",1.42
-100.343333,25.634167,NL,AS-06,"Arroyo Seco, N.L. SAHM*",50.9
-99.911667,24.321944,NL,ASCNL,"La Ascensión, N.L.",16
-99.743889,24.99,NL,CABNL,"Cabezones, N.L.",57.8
-99.578889,24.871944,NL,CAMNL,"Camacho, N.L.",41.91
-99.276944,25.711667,NL,CCHNL,"Cuchillo Solidaridad, N.L.",76.8
-99.975,25.590278,NL,CDRNL,"Cadereyta, N.L.",95.33
-99.399722,24.9375,NL,CPRNL,"José López Portillo, N.L.",40.01
-99.6975,24.783611,NL,CRUNL,"Crucitas, N.L.",61.3
-99.614167,26.091389,NL,CRVNL,"Cerralvo, N.L.",40.81
-100.308056,25.732222,NL,CU-09,"Ciudad Universitaria, N.L. SAHM*",114
-99.743889,24.99,NL,ELCARMENNL,"El Carmen, N.L. SGT*",41.4
-100.308333,25.576944,NL,ELDIENTE,"El Diente, N. L. SMN*",6.8
-100.245,25.592222,NL,EZ-07,"Estanzuela, N.L. SAHM*",202.15
-100.083333,24.833333,NL,GALNL,"Galeana, N.L.",7.02
-100.348611,25.502222,NL,LASTINAJASNL,"Las Tinajas, N.L. SGT*",57.5
-100.128056,25.428056,NL,LBCNL,"Rodrigo Gómez, N.L.",140.7
-99.527222,25.497222,NL,LERNL,"Las Enramadas, N.L.",74.01
-100.383611,25.735833,NL,MI-02,"Mitras, N.L. SAHM*",128.35
-99.833333,25.174167,NL,MTMNL,"Montemorelos, N.L.",10.64
-100.271667,25.682222,NL,MTRNL,"Monterrey, N.L.",272.1
-100.541944,25.701111,NL,OB-05,"Obispo, N.L. SAHM*",19.35
-100.304722,25.733611,NL,OBSNL,"Observatorio de Monterrey, N.L.",245.8
-99.221667,24.992778,NL,PAMNL,"La Pamona, N.L.",28
-100.333056,25.659722,NL,PC-08,"Protección Civil, N.L. SAHM*",78.3
-100.240278,25.856944,NL,RADIOSONDEOMTY,"Radiosondeo, Monterrey N.L. SGT*",0
-100.551111,25.028333,NL,SRANL,"San Rafael, N.L.",0.01
-97.720556,17.533611,OAX,AMTOX,"San Antonino Monte Verde, Oax.",104.3
-95.700556,16.010833,OAX,ASTOX,"Astata, Oax.",127.9
-96.1,17.016667,OAX,AYUOX,"Ayutla, Oax.",145.8
-96.74,17.164167,OAX,BJUAREZ,"Benito Juárez, Oax. SMN*",0
-95.929167,16.647222,OAX,BOQOX,"Boquilla 1, Oax.",118.52
-98.278333,17.532778,OAX,CALOX,"Calihualá, Oax.",62.53
-96.263611,17.999167,OAX,CDOOX,"Miguel de la Madrid Hurtado, Oax.",456.4
-94.816667,16.583333,OAX,CHIOX,"Chicapa, Oax.",208.31
-97.023056,17.459167,OAX,CMTOX,"Santiago Camotlán, Oax.",47.42
-96.721944,15.812222,OAX,COZOX,"San Francisco Cozoaltepec, Oax.",275.02
-96.658333,18.492778,OAX,CSPOX,"Cosolapa, Oax.",138.58
-96.388889,18.1525,OAX,DPSOX,"Dique Pescaditos, Oax.",325.14
-95.374444,16.434722,OAX,EMAOX,"El Marqués, Oax.",300.61
-97.819167,17.746389,OAX,FOYOX,"San Francisco Yosocuta, Oax.",67.31
-97.776111,17.806667,OAX,HDLOX,"Huajuapan de León, Oax.",55.62
-97.776111,17.806667,OAX,HLOOX,"Observatorio de Huajuapan de León, Oax.",48.53
-95.869722,17.024722,OAX,HUYOX,"Huayapam, Oax.",388.4
-95.053889,16.503611,OAX,IXTALTEPEC,"Ixtaltepec, Oax. SGT*",204.2
-95.1,16.583333,OAX,IXTOX,"Ixtepec, Oax.",403.52
-96.2,17.866667,OAX,JACOX,"Jacatepec, Oax.",796.5
-95.397778,16.445556,OAX,JDMOX,"Presidente Benito Juárez, Oax.",152
-95.033333,16.433333,OAX,JUCOX,"Juchitan, Oax.",379.2
-95.2,16.6,OAX,KM1OX,"km 33+190, Oax.",161.01
-95.716667,16.416667,OAX,KM2OX,"km 51+740, Oax.",285
-95.3,16.4,OAX,LPIOX,"Las Pilas, Oax.",156.02
-95.483333,17.45,OAX,MAROX,"María Lombardo, Oax.",394.62
-96.733333,17.066667,OAX,OACOX,"Oaxaca Centro, Oax.",76.14
-96.7,17.001389,OAX,OAOOX,"Observatorio de Aeropuerto Oaxaca, Oax.",59.72
-94.4,16.5,OAX,OSTOX,"Ostuta, Oax.",213.62
-96.083333,18.166667,OAX,PAPOX,"Papaloapan, Oax.",240.54
-96.716667,17.072778,OAX,PIAOX,"Organismo de Cuenca Pacífico Sur PIAE, Oax.",78.43
-96.483333,15.666667,OAX,PTAOX,"Observatorio de Puerto Angel, Oax.",108.5
-95.481389,16.585278,OAX,RHOOX,"Río Hondo, Oax.",246.4
-95.916667,17.733333,OAX,RMLOX,"Río Manso Lalana, Oax.",393.7
-97.725,16.102778,OAX,RVEOX,"Río Verde, Oax.",306.21
-96.55,17.266667,OAX,SCIOX,"Ixtepeji, Oax.",152.8
-95.2,16.183333,OAX,SCROX,"Observatorio de Salina Cruz, Oax.",184.4
-96.533333,17.883333,OAX,SFUOX,"San Felipe Usila, Oax.",593
-98.1425,17.501389,OAX,SLAOX,"Silacayoápam, Oax.",90.26
-97.881389,17.228889,OAX,SMNOX,"San Martín Itunyoso, Oax.",142.3
-97.680278,18.188611,OAX,SNCOX,"Santiago Chazumba, Oax.",14.52
