LON,LAT,EDO,CLAVE,ESTACION,jul-24
-102.8825,24.326111,ZAC,SFOZC,"San Francisco, Zac.",51.29
-103.506111,24.288611,ZAC,SGOZC,"Santiago, Zac.",203.06
-103.636389,23.638889,ZAC,SOMZC,"Observatorio de Sombrerete, Zac.",105.71
-103.495833,22.326667,ZAC,STEZC,"Independencia Nacional, Zac.",239.02
-103.108889,22.923611,ZAC,STRZC,"Santa Rosa, Zac.",209.59
-102.864167,22.120556,ZAC,TAYZC,"Ing. Julián Adame Alatorre, Zac.",135.27
-103.88,23.471944,ZAC,TCHZC,"Chalchihuites, Zac.",201
-103.309444,21.773611,ZAC,TLLZC,"Tlaltenango, Zac.",173.13
-101.917222,22.520278,ZAC,VGOZC,"Villa González Ortega, Zac.",103.47
-101.715833,22.347222,ZAC,VHGZC,"Villa Hidalgo, Zac.",127.9
-103.3375,21.588889,ZAC,VILZC,"José María Morelos, Zac.",245.15
