LON,LAT,EDO,CLAVE,ESTACION,feb-24
-99.146111,21.822222,SLP,TANCHACHIN,"Tanchachín, S.L.P. SGT*",13.4
-98.857222,21.246667,SLP,TBLSL,"Tierra Blanca, S.L.P.",10.4
-101.9125,22.831944,SLP,VRASL,"Villa de Ramos, S.L.P.",8
-110.226111,29.825,SON,ACNSO,"Aconchi, Son.",12.5
-108.937778,27.021667,SON,ALMSO,"Álamos, Son.",10.6
-111.733333,30.716667,SON,ALTSO,"Observatorio de Altar, Son.",17
-109.8925,27.8225,SON,AOBSO,"Álvaro Obregón, Son.",6
-109.106667,27.226111,SON,ARCSO,"Adolfo Ruíz Cortínes, Son.",10.5
-109.088611,30.07,SON,ARISO,"Aribabi, Son.",62.11
-110.92,29.076667,SON,ARLSO,"Abelardo Rodríguez Luján, Son.",8.92
-110.1675,30.335833,SON,ARZSO,"Arizpe, Son.",19.51
-111.83,28.75,SON,BAHIAKINO,"Bahía de Kino, Son. SMN*",4
-110.238611,30.598889,SON,BCNSO,"Bacanuchi, Son.",20.51
-108.931667,30.355278,SON,BCRSO,"Bacerac, Son.",42.5
-112.435278,30.771944,SON,CABORCA,"Caborca, Son. SMN*",17
-109.625,27.416667,SON,CCRSO,"Cocoraque, Son.",4.5
-111.516389,30.873333,SON,CHTSO,"Cuauhtémoc, Son.",49.5
-110.736389,29.472222,SON,CJNSO,"El Cajón, Son.",5.73
-110.290833,30.98,SON,CNNSO,"Cananea, Son.",28.51
-109.938056,27.5,SON,COBSO,"Observatorio de Ciudad Obregón, Son.",2.51
-108.7625,26.603611,SON,CZNSO,"Cazanate, Son.",4.2
-109.233333,29.2,SON,ECBSO,"El Cubil, Son.",24.8
-110.8,27.95,SON,EPLSO,"Observatorio de Empalme, Son.",6
-110.85,27.95,SON,GYMSO,"Guaymas, Son.",3.4
-110.916667,29.066667,SON,HM2SO,"Observatorio de Hermosillo, Son.",8.92
-110.925833,29.073056,SON,HMNSO,"Hermosillo, Son.",8.41
-108.957222,30.210556,SON,HSHSO,"Huachinera, Son.",10.02
-110.886944,30.761667,SON,IMRSO,"Imuris, Son.",42.92
-110.396944,28.426389,SON,IRASO,"Ignacio R. Alatorre, Son.",16.01
-109.378889,30.437778,SON,LCDSO,"Lázaro Cárdenas, Son.",25
-110.783333,29.183333,SON,MLNSO,"El Molinito, Son.",16.02
-109.6875,30.374444,SON,NCZSO,"Observatorio de Nacozari, Son.",26.9
-110.947222,31.318889,SON,NGLSO,"Nogales, Son.",52.2
-110.913889,31.297778,SON,NOGALES,"Nogales, Son. SMN*",37.4
-109.443333,27.071944,SON,NVJSO,"Navojoa, Son.",4.7
-112.85,31.866667,SON,NYNSO,"Sonoyta, Son.",22.02
-109.083333,29.433333,SON,PDNSO,"Paso Nácori, Son.",29.9
-109.642222,28.976667,SON,PECSO,"Plutarco Elías Calles, Son.",45.52
-113.304722,31.68,SON,PINACATE,"El Pinacate, Son. SMN*",11.4
-110.725556,29.2125,SON,PMOSO,"Ing. Rodolfo Félix Valdés, Son.",11.01
-113.550833,31.352778,SON,PT2SO,"Observatorio de Puerto Peñasco, Son.",3.6
-110.308333,28.472222,SON,PTASO,"Punta de Agua 2, Son.",22.52
-112.116667,30.697778,SON,PTQSO,"Pitiquito, Son.",10.12
-111.021389,30.050556,SON,QRBSO,"Querobabi, Son.",11.01
-108.876667,27.411944,SON,SBNSO,"San Bernardo, Son.",6.81
-111.445278,30.394722,SON,SRSSO,"Santa Rosa 2, Son.",41.21
-109.5,29.534722,SON,TPCSO,"Tepache, Son.",9.5
-109.2125,27.658333,SON,TSOSO,"Tesocoma, Son.",4
-110.289722,27.643611,SON,VCMSO,"Vícam, Son.",0.52
-110.299167,27.639167,SON,VICAM,"Vícam, Son. SGT*",1.1
